"88053_21-02-2026_13:00_Padelbaan 1;"88053_Barendrecht_21-02-2026_12:12:29_Padelbaan 1;21-02-2026;13:00; Saturday; 88053; Barendrecht; Padelbaan 1;  verhuurd; € 13,75"
"88053_21-02-2026_13:00_Padelbaan 2;"88053_Barendrecht_21-02-2026_12:12:29_Padelbaan 2;21-02-2026;13:00; Saturday; 88053; Barendrecht; Padelbaan 2;  beschikbaar; € 13,75"
"88053_21-02-2026_13:00_Padelbaan 3;"88053_Barendrecht_21-02-2026_12:12:29_Padelbaan 3;21-02-2026;13:00; Saturday; 88053; Barendrecht; Padelbaan 3;  beschikbaar; € 13,75"
"88053_21-02-2026_13:00_Padelbaan 4c;"88053_Barendrecht_21-02-2026_12:12:29_Padelbaan 4c;21-02-2026;13:00; Saturday; 88053; Barendrecht; Padelbaan 4c;  beschikbaar; € 13,75"
"88053_21-02-2026_13:00_Padelbaan 1;"88053_Barendrecht_21-02-2026_12:51:45_Padelbaan 1;21-02-2026;13:00; Saturday; 88053; Barendrecht; Padelbaan 1;  verhuurd; € 13,75"
"88053_21-02-2026_13:00_Padelbaan 2;"88053_Barendrecht_21-02-2026_12:51:45_Padelbaan 2;21-02-2026;13:00; Saturday; 88053; Barendrecht; Padelbaan 2;  beschikbaar; € 13,75"
"88053_21-02-2026_13:00_Padelbaan 3;"88053_Barendrecht_21-02-2026_12:51:45_Padelbaan 3;21-02-2026;13:00; Saturday; 88053; Barendrecht; Padelbaan 3;  beschikbaar; € 13,75"
"88053_21-02-2026_13:00_Padelbaan 4c;"88053_Barendrecht_21-02-2026_12:51:45_Padelbaan 4c;21-02-2026;13:00; Saturday; 88053; Barendrecht; Padelbaan 4c;  beschikbaar; € 13,75"
"88053_21-02-2026_14:00_Padelbaan 1;"88053_Barendrecht_21-02-2026_01:10:02_Padelbaan 1;21-02-2026;14:00; Saturday; 88053; Barendrecht; Padelbaan 1;  beschikbaar; € 13,75"
"88053_21-02-2026_14:00_Padelbaan 2;"88053_Barendrecht_21-02-2026_01:10:02_Padelbaan 2;21-02-2026;14:00; Saturday; 88053; Barendrecht; Padelbaan 2;  beschikbaar; € 13,75"
"88053_21-02-2026_14:00_Padelbaan 3;"88053_Barendrecht_21-02-2026_01:10:02_Padelbaan 3;21-02-2026;14:00; Saturday; 88053; Barendrecht; Padelbaan 3;  beschikbaar; € 13,75"
"88053_21-02-2026_14:00_Padelbaan 4c;"88053_Barendrecht_21-02-2026_01:10:02_Padelbaan 4c;21-02-2026;14:00; Saturday; 88053; Barendrecht; Padelbaan 4c;  beschikbaar; € 13,75"
"88053_21-02-2026_15:00_Padelbaan 1;"88053_Barendrecht_21-02-2026_02:26:43_Padelbaan 1;21-02-2026;15:00; Saturday; 88053; Barendrecht; Padelbaan 1;  verhuurd; € 13,75"
"88053_21-02-2026_15:00_Padelbaan 2;"88053_Barendrecht_21-02-2026_02:26:43_Padelbaan 221-02-2026;15:00; Saturday; 88053; Barendrecht; Padelbaan 2;  beschikbaar; € 13,75"
"88053_21-02-2026_15:00_Padelbaan 3;"88053_Barendrecht_21-02-2026_02:26:43_Padelbaan 3;21-02-2026;15:00; Saturday; 88053; Barendrecht; Padelbaan 3;  beschikbaar; € 13,75"
"88053_21-02-2026_15:00_Padelbaan 4c;"88053_Barendrecht_21-02-2026_02:26:43_Padelbaan 4c;21-02-2026;15:00; Saturday; 88053; Barendrecht; Padelbaan 4c;  beschikbaar; € 13,75"
"88053_21-02-2026_15:00_Padelbaan 1;"88053_Barendrecht_21-02-2026_02:29:33_Padelbaan 1;21-02-2026;15:00; Saturday; 88053; Barendrecht; Padelbaan 1;  verhuurd; € 13,75"
"88053_21-02-2026_15:00_Padelbaan 2;"88053_Barendrecht_21-02-2026_02:29:33_Padelbaan 2;21-02-2026;15:00; Saturday; 88053; Barendrecht; Padelbaan 2;  beschikbaar; € 13,75"
"88053_21-02-2026_15:00_Padelbaan 3;"88053_Barendrecht_21-02-2026_02:29:33_Padelbaan 3;21-02-2026;15:00; Saturday; 88053; Barendrecht; Padelbaan 3;  beschikbaar; € 13,75"
"88053_21-02-2026_15:00_Padelbaan 4c"88053_Barendrecht_21-02-2026_02:29:33_Padelbaan 4c;21-02-2026;15:00; Saturday; 88053; Barendrecht; Padelbaan 4c;  beschikbaar; € 13,75"
"88053_21-02-2026_15:00_Padelbaan 1;88053_Barendrecht_21-02-2026_02:32:42_Padelbaan 1;21-02-2026;15:00; Saturday; 88053; Barendrecht; Padelbaan 1;  verhuurd; € 13,75"
"88053_21-02-2026_15:00_Padelbaan 2;88053_Barendrecht_21-02-2026_02:32:42_Padelbaan 2;21-02-2026;15:00; Saturday; 88053; Barendrecht; Padelbaan 2;  beschikbaar; € 13,75"
"88053_21-02-2026_15:00_Padelbaan 3;88053_Barendrecht_21-02-2026_02:32:42_Padelbaan 3;21-02-2026;15:00; Saturday; 88053; Barendrecht; Padelbaan 3;  beschikbaar; € 13,75"
"88053_21-02-2026_15:00_Padelbaan 4c;88053_Barendrecht_21-02-2026_02:32:42_Padelbaan 4c;21-02-2026;15:00; Saturday; 88053; Barendrecht; Padelbaan 4c;  beschikbaar; € 13,75"
"88053_21-02-2026_16:00_Padelbaan 1;88053_Barendrecht_21-02-2026_03:03:03_Padelbaan 1;21-02-2026;16:00; Saturday; 88053; Barendrecht; Padelbaan 1;  verhuurd; € 22,00"
"88053_21-02-2026_16:00_Padelbaan 2;88053_Barendrecht_21-02-2026_03:03:03_Padelbaan 2;21-02-2026;16:00; Saturday; 88053; Barendrecht; Padelbaan 2;  beschikbaar; € 22,00"
"88053_21-02-2026_16:00_Padelbaan 3;88053_Barendrecht_21-02-2026_03:03:03_Padelbaan 3;21-02-2026;16:00; Saturday; 88053; Barendrecht; Padelbaan 3;  beschikbaar; € 22,00"
"88053_21-02-2026_16:00_Padelbaan 4c;88053_Barendrecht_21-02-2026_03:03:03_Padelbaan 4c;21-02-2026;16:00; Saturday; 88053; Barendrecht; Padelbaan 4c;  beschikbaar; € 22,00"
"88053_21-02-2026_16:00_Padelbaan 1;88053_Barendrecht_21-02-2026_03:58:16_Padelbaan 1;21-02-2026;16:00; Saturday; 88053; Barendrecht; Padelbaan 1;  verhuurd; € 22,00"
