
"88053_Barendrecht_2026-02-07_07:33:08_Padelbaan 1;20:00; 88053; Barendrecht; Padelbaan 1;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-07_07:33:08_Padelbaan 2;20:00; 88053; Barendrecht; Padelbaan 2;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-07_07:33:08_Padelbaan 3;20:00; 88053; Barendrecht; Padelbaan 3;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-07_07:33:08_Padelbaan 4c;20:00; 88053; Barendrecht; Padelbaan 4c;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-07_07:45:30_Padelbaan 1;20:00; 88053; Barendrecht; Padelbaan 1;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-07_07:45:30_Padelbaan 2;20:00; 88053; Barendrecht; Padelbaan 2;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-07_07:45:30_Padelbaan 3;20:00; 88053; Barendrecht; Padelbaan 3;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-07_07:45:30_Padelbaan 4c;20:00; 88053; Barendrecht; Padelbaan 4c;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-08_08:31:10_Padelbaan 1;21:00; 88053; Barendrecht; Padelbaan 1;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-08_08:31:10_Padelbaan 2;21:00; 88053; Barendrecht; Padelbaan 2;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-08_08:31:10_Padelbaan 3;21:00; 88053; Barendrecht; Padelbaan 3;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-08_08:31:10_Padelbaan 4c;21:00; 88053; Barendrecht; Padelbaan 4c;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-05_05:28:35_Padelbaan 1;06:00; 88053; Barendrecht; Padelbaan 1;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-05_05:28:35_Padelbaan 2;06:00; 88053; Barendrecht; Padelbaan 2;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-05_05:28:35_Padelbaan 3;06:00; 88053; Barendrecht; Padelbaan 3;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-05_05:28:35_Padelbaan 4c;06:00; 88053; Barendrecht; Padelbaan 4c;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-08_08:06:52_Padelbaan 1;09:00; 88053; Barendrecht; Padelbaan 1;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-08_08:06:52_Padelbaan 2;09:00; 88053; Barendrecht; Padelbaan 2;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-08_08:06:52_Padelbaan 3;09:00; 88053; Barendrecht; Padelbaan 3;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-08_08:06:52_Padelbaan 4c;09:00; 88053; Barendrecht; Padelbaan 4c;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-08_08:09:53_Padelbaan 1;09:00; 88053; Barendrecht; Padelbaan 1;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-08_08:09:53_Padelbaan 2;09:00; 88053; Barendrecht; Padelbaan 2;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-08_08:09:53_Padelbaan 3;09:00; 88053; Barendrecht; Padelbaan 3;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-08_08:09:53_Padelbaan 4c;09:00; 88053; Barendrecht; Padelbaan 4c;  verhuurd;  geen laan beschikbaar dit tijdslot"
"88053_Barendrecht_2026-02-08_08:20:52_Padelbaan 1;10:00; 88053; Barendrecht; Padelbaan 1;  beschikbaar; € 11,00"
"88053_Barendrecht_2026-02-08_08:20:52_Padelbaan 2;10:00; 88053; Barendrecht; Padelbaan 2;  beschikbaar; € 11,00"
"88053_Barendrecht_2026-02-08_08:20:52_Padelbaan 3;10:00; 88053; Barendrecht; Padelbaan 3;  beschikbaar; € 11,00"
"88053_Barendrecht_2026-02-08_08:20:52_Padelbaan 4c;10:00; 88053; Barendrecht; Padelbaan 4c;  beschikbaar; € 11,00"
